id,program,prior,length,depth,lambda,apps,visible,semi,hidden
c001,(lambda (singleton (third $0))),-12.079193364186000,6,3,1,2,0,3,0
c002,(lambda (if (> 3 (length $0)) empty (singleton (third $0)))),-35.59572620638570,18,6,1,8,0,4,5
c003,(lambda (singleton (nth 7 $0))),-16.883214408919300,8,4,1,3,0,4,0
c004,(lambda (if (> 7 (length $0)) empty (singleton (nth 7 $0)))),-40.399747251118900,20,6,1,9,0,5,5
c005,(lambda (singleton (nth (first $0) (drop 1 $0)))),-28.962407773105300,14,5,1,6,0,3,4
c006,(lambda (take 2 $0)),-12.079193364186000,6,3,1,2,1,2,0
c007,(lambda (take 2 $0)),-12.079193364186000,6,3,1,2,1,2,0
c008,(lambda (take 6 $0)),-12.079193364186000,6,3,1,2,1,2,0
c009,(lambda (take 6 $0)),-12.079193364186000,6,3,1,2,1,2,0
c010,(lambda (take (first $0) (drop 1 $0))),-24.158386728372100,12,4,1,5,1,1,4
c011,(lambda (slice 2 4 $0)),-16.883214408919300,8,4,1,3,2,2,0
c012,(lambda (slice 2 4 $0)),-16.883214408919300,8,4,1,3,2,2,0
c013,(lambda (slice 3 7 $0)),-16.883214408919300,8,4,1,3,2,2,0
c014,(lambda (slice 3 7 $0)),-16.883214408919300,8,4,1,3,2,2,0
c015,(lambda (slice (first $0) (second $0) (drop 2 $0))),-32.599993932831700,16,5,1,7,2,2,4
c016,(lambda (replace 2 8 $0)),-16.883214408919300,8,4,1,3,2,2,0
c017,(lambda (replace 2 8 $0)),-16.883214408919300,8,4,1,3,2,2,0
c018,(lambda (replace 6 3 $0)),-16.883214408919300,8,4,1,3,2,2,0
c019,(lambda (replace 6 3 $0)),-16.883214408919300,8,4,1,3,2,2,0
c020,(lambda (replace 1 (last $0) $0)),-20.52080056864570,10,4,1,4,0,5,0
c021,(lambda (insert 8 2 $0)),-16.883214408919300,8,4,1,3,2,2,0
c022,(lambda (insert 5 2 $0)),-16.883214408919300,8,4,1,3,2,2,0
c023,(lambda (insert (if (> 5 (length $0)) 8 5) 2 $0)),-42.73261702113270,20,9,1,9,2,3,5
c024,(lambda (insert (if (> 5 (first $0)) 8 5) 2 $0)),-42.68132372674510,20,9,1,9,2,3,5
c025,(lambda (cut_idx 2 $0)),-12.079193364186000,6,3,1,2,1,2,0
c026,(lambda (cut_idx 3 $0)),-12.079193364186000,6,3,1,2,1,2,0
c027,(lambda (cut_idx (if (== (first $0) (third $0)) 3 2) $0)),-41.86810656529320,20,9,1,9,1,3,6
c028,(lambda (cut_idx (if (> (first $0) (third $0)) 3 2) $0)),-41.51488884173830,20,9,1,9,1,3,6
c029,(lambda (drop 2 $0)),-12.079193364186000,6,3,1,2,1,2,0
c030,(lambda (drop 4 $0)),-12.079193364186000,6,3,1,2,1,2,0
c031,(lambda (drop (if (and (== (second $0) (first $0)) (> (length $0) 5)) 2 4) $0)),-61.053906067206500,30,11,1,14,1,8,6
c032,(lambda (drop (if (and (== (second $0) 0) (> (first $0) 5)) 2 4) $0)),-57.36502661309250,28,11,1,13,1,9,4
c033,(lambda (swap 1 4 $0)),-16.883214408919300,8,4,1,3,2,2,0
c034,(lambda (swap 2 3 $0)),-16.883214408919300,8,4,1,3,2,2,0
c035,(lambda (if (or (== (second $0) (nth 4 $0)) (> (length $0) 7)) (swap 1 4 $0) (swap 2 3 $0))),-81.57470663585220,40,9,1,19,2,12,6
c036,(lambda (if (or (== (second $0) 7) (> (nth 4 $0) 7)) (swap 1 4 $0) (swap 2 3 $0))),-77.88582718173820,38,9,1,18,2,13,4
c037,(lambda (append $0 3)),-12.079193364186000,6,3,1,2,3,0,0
c038,(lambda (append $0 9)),-12.079193364186000,6,3,1,2,3,0,0
c039,(lambda ((lambda (if (> (length $0) 5) (append $0 3) $0)) ((lambda (if (== (second $0) (third $0)) (append $0 9) $0)) $0))),NA,42,10,1,19,9,5,8
c040,(lambda ((lambda (if (> (third $0) 3) (append $0 3) $0)) ((lambda (if (== (second $0) 9) (append $0 9) $0)) $0))),NA,40,10,1,18,9,6,6
c041,(lambda (singleton 9)),-8.441607204459640,4,2,1,1,2,0,0
c042,(lambda (cons 5 (singleton 2))),-16.883214408919300,8,3,1,3,4,0,0
c043,(lambda (cons 8 (cons 2 (cons 7 (cons 0 (singleton 3)))))),-42.20803602229820,20,6,1,9,10,0,0
c044,(lambda (cons 1 (cons 9 (cons 4 (cons 3 (cons 2 (cons 5 (cons 8 (cons 0 (cons 4 (singleton 9))))))))))),-84.41607204459640,40,11,1,19,20,0,0
c045,(lambda $0),-3.6375861597263900,2,1,1,0,1,0,0
c046,(lambda (cons 7 $0)),-12.079193364186000,6,3,1,2,3,0,0
c047,(lambda (cons 9 (cons 6 (cons 3 (cons 8 (cons 5 $0)))))),-45.8456221820246,22,7,1,10,11,0,0
c048,(lambda (take 1 $0)),-12.079193364186000,6,3,1,2,1,2,0
c049,(lambda (drop 1 $0)),-12.079193364186000,6,3,1,2,1,2,0
c050,(lambda (cons (first $0) $0)),-15.716779523912400,8,4,1,3,4,0,0
c051,(lambda (concat (repeat (first $0) 5) $0)),-24.158386728372100,12,6,1,5,3,3,0
c052,(lambda (repeat (first $0) 10)),-16.883214408919300,8,4,1,3,2,2,0
c053,(lambda (concat (repeat (first $0) 2) (drop 2 $0))),-32.599993932831700,16,6,1,7,3,5,0
c054,(lambda (concat (repeat (third $0) 3) (drop 3 $0))),-32.599993932831700,16,6,1,7,3,5,0
c055,(lambda (concat (slice 3 4 $0) (concat (take 2 $0) (drop 4 $0)))),-48.316773456744100,24,6,1,11,5,7,0
c056,(lambda (cut_idx 5 $0)),-12.079193364186000,6,3,1,2,1,2,0
c057,(lambda (insert 4 7 $0)),-16.883214408919300,8,4,1,3,3,1,0
c058,(lambda (drop 7 $0)),-12.079193364186000,6,3,1,2,1,2,0
c059,(lambda (swap 4 8 $0)),-16.883214408919300,8,4,1,3,2,2,0
c060,(lambda (swap 3 1 (replace 4 4 (cut_idx 6 (take 7 $0))))),-47.01205706703150,22,6,1,10,1,10,0
c061,(lambda (singleton (last $0))),-12.079193364186000,6,3,1,2,0,3,0
c062,(lambda (droplast 1 $0)),-12.079193364186000,6,3,1,2,1,2,0
c063,(lambda (drop (first $0) (drop 1 $0))),-24.158386728372100,12,4,1,5,1,1,4
c064,(lambda (drop 1 (droplast 1 $0))),-20.52080056864570,10,4,1,4,1,4,0
c065,(lambda (cons 9 (append $0 7))),-20.52080056864570,10,4,1,4,5,0,0
c066,(lambda (append (drop 1 $0) (first $0))),-24.158386728372100,12,5,1,5,3,3,0
c067,(lambda (cons (last $0) (append (drop 1 (droplast 1 $0)) (first $0)))),-44.67918729701770,22,7,1,10,5,6,0
c068,(lambda (concat $0 (cons 7 (cons 3 (cons 8 (cons 4 (singleton 3))))))),-49.48320834175100,24,7,1,11,12,0,0
c069,(lambda (concat (cons 9 (cons 3 (cons 4 (singleton 0)))) (concat $0 (cons 7 (cons 2 (cons 9 (singleton 1))))))),-78.4456161148563,38,7,1,18,19,0,0
c070,(lambda (concat $0 $0)),-10.912758479179200,6,3,1,2,3,0,0
c071,(lambda (map (lambda (+ 2 $0)) $0)),-21.711725385570000,11,6,1,4,0,6,0
c072,(lambda (flatten (map (lambda (cons $0 (singleton $0))) $0))),-27.7856312622946,15,7,1,6,5,3,0
c073,(lambda (mapi + $0)),NA,6,3,1,2,0,0,3
c074,(lambda (filter (lambda (> $0 7)) $0)),-19.843980009364000,11,6,1,4,1,1,4
c075,(lambda (filteri (lambda (lambda (is_odd $1))) $0)),-15.724942834551600,10,6,1,3,1,0,5
c076,(lambda (map (lambda (- $0 3)) (filter (lambda (> $0 5)) $0))),-37.91811923520770,20,7,1,8,0,1,10
c077,(lambda (singleton (length $0))),-12.130486658573600,6,3,1,2,0,1,2
c078,(lambda (singleton (max $0))),-12.130486658573600,6,3,1,2,0,2,1
c079,(lambda (singleton (sum $0))),-12.079193364186000,6,3,1,2,0,1,2
c080,(lambda (reverse $0)),-7.275172319452770,4,2,1,1,2,0,0
c081,(lambda (singleton (third $0))),-12.079193364186000,6,3,1,2,0,3,0
c082,(lambda (if (> 3 (length $0)) empty (singleton (third $0)))),-35.59572620638570,18,6,1,8,0,4,5
c083,(lambda (singleton (nth 7 $0))),-16.883214408919300,8,4,1,3,0,4,0
c084,(lambda (if (> 7 (length $0)) empty (singleton (nth 7 $0)))),-40.399747251118900,20,6,1,9,0,5,5
c085,(lambda (singleton (nth (first $0) (drop 1 $0)))),-28.962407773105300,14,5,1,6,0,3,4
c086,(lambda (swap 1 4 $0)),-16.883214408919300,8,4,1,3,2,2,0
c087,(lambda (swap 2 3 $0)),-16.883214408919300,8,4,1,3,2,2,0
c088,(lambda (if (or (== (second $0) (nth 4 $0)) (> (length $0) 7)) (swap 1 4 $0) (swap 2 3 $0))),-81.57470663585220,40,9,1,19,2,12,6
c089,(lambda (if (or (== (second $0) 7) (> (nth 4 $0) 7)) (swap 1 4 $0) (swap 2 3 $0))),-77.88582718173820,38,9,1,18,2,13,4
c090,(lambda (cons 18 (cons 42 (cons 77 (cons 20 (singleton 36)))))),-42.20803602229820,20,6,1,9,10,0,0
c091,(lambda (cons 81 (cons 99 (cons 41 (cons 23 (cons 22 (cons 75 (cons 68 (cons 30 (cons 24 (singleton 69))))))))))),-84.41607204459640,40,11,1,19,20,0,0
c092,(lambda (cons 92 (cons 63 (cons 34 (cons 18 (cons 55 $0)))))),-45.8456221820246,22,7,1,10,11,0,0
c093,(lambda (repeat (first $0) 10)),-16.883214408919300,8,4,1,3,1,3,0
c094,(lambda (concat (slice 3 4 $0) (concat (take 2 $0) (drop 4 $0)))),-48.316773456744100,24,6,1,11,5,7,0
c095,(lambda (drop 1 (droplast 1 $0))),-20.52080056864570,10,4,1,4,1,4,0
c096,(lambda (cons 98 (append $0 37))),-20.52080056864570,10,4,1,4,5,0,0
c097,(lambda (concat (cons 11 (cons 21 (cons 43 (singleton 19)))) (concat $0 (cons 7 (cons 89 (cons 0 (singleton 57))))))),-78.4456161148563,38,7,1,18,19,0,0
c098,(lambda (mapi + $0)),NA,6,3,1,2,0,0,3
c099,(lambda (filter (lambda (> $0 49)) $0)),-19.843980009364000,11,6,1,4,1,1,4
c100,(lambda (reverse $0)),-7.275172319452770,4,2,1,1,2,0,0